version_event,source_id,quote_id,license_event,doi_event,crc_event,version_position,position_description,name_position,location_type,latitude,longitude,geometry,elevation,geonames_id,version_period,calendar,begin_year,begin_month_id,begin_month,begin_day_id,begin_day,begin_hour_id,begin_hour,begin_timestamp,end_year,end_month_id,end_month,end_day_id,end_day,end_hour_id,end_hour,end_timestamp,version_coding,codeset_id,codeset_description,category,path,node_id,node_label,scale_id,scale_label,value_id,value_label,value_index,average,variance,si_unit,si_average,si_variance
0,11785,250236,"not published",,3b8b37a22a01ed586365db7e8bd3385a,0,,"Freiburg, Tullastrasse",location,48.025429,7.847819,,,,0,gregorian,2017,1,january,13,13,9,"8 am","2017-01-13 08:00:00",2017,1,january,13,13,11,"10 am","2017-01-13 10:59:59",0,413118,"light hail/snow more towards hail getting progressively heavier",climate,"climate/precipitation/amount of precipitation",616,"shortterm precipitation",51,"shortterm precipitation",103,"very much precipitation",3,,,,,
0,11896,250135,"not published",,1d14e27aa8e005b4b81fc400287b2354,0,Vauban,"Freiburg, Vauban",location,47.976005,7.824701,,,,0,gregorian,2017,1,january,13,13,9,"8 am","2017-01-13 08:00:00",2017,1,january,13,13,11,"10 am","2017-01-13 10:59:59",0,413116,dreary,climate,climate/clouds,153,"cloud cover",4,"cloud cover",32,"4/4: fully clouded",4,,,n[],,
0,11786,250300,"not published",,8e8d0f3a25e7cf45a6bf77f05f59a158,0,,"Freiburg, Sundgauallee 30",location,48.007353,7.818589,,,,0,gregorian,2017,1,january,13,13,9,"8 am","2017-01-13 08:00:00",2017,1,january,13,13,11,"10 am","2017-01-13 10:59:59",0,413119,"Cool, crisp morning",climate,climate/temperature,237,"temperature level",1,"temperature level",2,"normal temperature",0,,,,,
0,11787,250203,"not published",,a62934e20c288e1561531994c51b1abc,0,,"Freiburg, Vauban",location,47.976005,7.824701,,,,0,gregorian,2017,1,january,13,13,9,"8 am","2017-01-13 08:00:00",2017,1,january,13,13,11,"10 am","2017-01-13 10:59:59",0,413120,"very light snow",climate,"climate/precipitation/amount of precipitation",616,"shortterm precipitation",51,"shortterm precipitation",102,"some precipitation",1,,,,,
0,11815,142866,"not published",,51b1b88b096081d59787ee85b70a1e62,0,,"Freiburg, Barbarastraße 8",location,48.003732,7.839775,,,,0,gregorian,2017,1,january,13,13,9,"8 am","2017-01-13 08:00:00",2017,1,january,13,13,11,"10 am","2017-01-13 10:59:59",0,413115,"some very few lonely snowflakes falling",climate,"climate/precipitation/amount of precipitation",616,"shortterm precipitation",51,"shortterm precipitation",102,"some precipitation",1,,,,,
0,11850,250102,"not published",,ee80d252dafa2c2578e4ddf7e24d9151,0,,"Freiburg, Okenstraße",location,48.010424,7.858387,,,,0,gregorian,2017,1,january,13,13,9,"8 am","2017-01-13 08:00:00",2017,1,january,13,13,11,"10 am","2017-01-13 10:59:59",0,413124,"85 % cloud coverage",climate,climate/clouds,153,"cloud cover",4,"cloud cover",33,"3/4: very cloudy",3,,,n[],,
0,11789,142831,"not published",,da869ad5398e169c25f420283fd0f04c,0,"Engelbergerstrasse 41","Freiburg, Engelbergerstrasse 41","individual coordinate",47.997213,7.833161,,,,0,gregorian,2017,1,january,13,13,9,"8 am","2017-01-13 08:00:00",2017,1,january,13,13,11,"10 am","2017-01-13 10:59:59",0,413122,"threatening dark clouds",climate,climate/clouds,153,"cloud cover",4,"cloud cover",32,"4/4: fully clouded",4,,,n[],,
0,11790,250170,"not published",,c2f100308350472b5968a3c653702b71,0,,"Freiburg, Okenstraße",location,48.010424,7.858387,,,,0,gregorian,2017,1,january,15,15,9,"8 am","2017-01-15 08:00:00",2017,1,january,15,15,11,"10 am","2017-01-15 10:59:59",0,413123,"sky fully covered (clouds) ",climate,climate/clouds,153,"cloud cover",4,"cloud cover",32,"4/4: fully clouded",4,,,n[],,
0,11811,142796,"not published",,91f77740af246346606ca330ff493201,0,,"Freiburg, Barbarastraße 8",location,48.003732,7.839775,,,,0,gregorian,2017,1,january,13,13,9,"8 am","2017-01-13 08:00:00",2017,1,january,13,13,11,"10 am","2017-01-13 10:59:59",0,413128,"it probably feels colder than it is, since it is cold and damp",climate,climate/temperature,237,"temperature level",1,"temperature level",3,cool,-1,,,,,
0,11811,142796,"not published",,a74ffb31b6c6b52800a925b34f64972e,0,,"Freiburg, Barbarastraße 8",location,48.003732,7.839775,,,,0,gregorian,2017,1,january,13,13,9,"8 am","2017-01-13 08:00:00",2017,1,january,13,13,11,"10 am","2017-01-13 10:59:59",0,413132,,climate,"climate/precipitation/amount of precipitation",616,"shortterm precipitation",51,"shortterm precipitation",101,"no precipitation",0,,,,,
0,11794,142857,"not published",,e86cfdb09f9ee83f06ecb71e1c5d3187,0,,"Freiburg, Herderbau",location,48.003428,7.853443,,,,0,gregorian,2017,1,january,13,13,13,noon,"2017-01-13 12:00:00",2017,1,january,13,13,15,"2 pm","2017-01-13 14:59:59",0,413127," a lot of moisture in the air",climate,"climate/precipitation/amount of precipitation",616,"shortterm precipitation",51,"shortterm precipitation",103,"very much precipitation",3,,,,,
0,11811,142796,"not published",,f67486fd13319708e22cef89840d0e47,0,,"Freiburg, Barbarastraße 8",location,48.003732,7.839775,,,,0,gregorian,2017,1,january,13,13,9,"8 am","2017-01-13 08:00:00",2017,1,january,13,13,11,"10 am","2017-01-13 10:59:59",0,413131,"partly cloudy, the sun appears now and then",climate,climate/clouds,153,"cloud cover",4,"cloud cover",34,"1/4: mostly sunny",1,,,n[],,
0,11813,142859,"not published",,19115a0605b98976dc9194abaa0e8d00,0,,"Freiburg, Maria-von-Rudloff-Platz",location,47.99922,7.791445,,,,0,gregorian,2017,1,january,13,13,13,noon,"2017-01-13 12:00:00",2017,1,january,13,13,15,"2 pm","2017-01-13 14:59:59",0,413126,"started to snow, very softly",climate,"climate/precipitation/amount of precipitation",616,"shortterm precipitation",51,"shortterm precipitation",102,"some precipitation",1,,,,,
0,11811,142799,"not published",,5c1573b53ac41bb5ebfd0dc98e5203c6,0,,"Freiburg, Barbarastraße 8",location,48.003732,7.839775,,,,0,gregorian,2017,1,january,13,13,13,noon,"2017-01-13 12:00:00",2017,1,january,13,13,15,"2 pm","2017-01-13 14:59:59",0,413133,,climate,"climate/precipitation/amount of precipitation",616,"shortterm precipitation",51,"shortterm precipitation",100,"much precipitation",2,,,,,
0,11811,142799,"not published",,e4b3653bdb81be83f6b5beb4ceb5d033,0,,"Freiburg, Barbarastraße 8",location,48.003732,7.839775,,,,0,gregorian,2017,1,january,13,13,13,noon,"2017-01-13 12:00:00",2017,1,january,13,13,15,"2 pm","2017-01-13 14:59:59",0,413135," sun is shining",climate,climate/clouds,153,"cloud cover",4,"cloud cover",34,"1/4: mostly sunny",1,,,n[],,
0,11781,250260,"not published",,4b1b7ea98f6cb8221a5cb08671f13763,0,,"Freiburg, Sundgauallee 28",location,48.007392,7.81941,,,,0,gregorian,2017,1,january,13,13,9,"8 am","2017-01-13 08:00:00",2017,1,january,13,13,11,"10 am","2017-01-13 10:59:59",0,413106,"sunlight↵clouds since there are some spots of blue in the sky",climate,climate/clouds,153,"cloud cover",4,"cloud cover",33,"3/4: very cloudy",3,,,n[],,
0,11811,142799,"not published",,844ffa04daec2ac5d6c172747ac14799,0,,"Freiburg, Barbarastraße 8",location,48.003732,7.839775,,,,0,gregorian,2017,1,january,13,13,13,noon,"2017-01-13 12:00:00",2017,1,january,13,13,15,"2 pm","2017-01-13 14:59:59",0,413134,,climate,climate/temperature,237,"temperature level",1,"temperature level",3,cool,-1,,,,,
0,11811,142802,"not published",,0445ffec160b9a18905d337bb2b43a74,0,,"Freiburg, Stadtstraße 84",location,47.9955,7.853,,,,0,gregorian,2017,1,january,13,13,18,"5 pm","2017-01-13 17:00:00",2017,1,january,13,13,20,"7 pm","2017-01-13 19:59:59",0,413136,"snows a little bit",climate,"climate/precipitation/amount of precipitation",616,"shortterm precipitation",51,"shortterm precipitation",100,"much precipitation",2,,,,,
0,11811,142802,"not published",,b8b0eb5a22d357e54d2f1591157fc746,0,,"Freiburg, Stadtstraße 84",location,47.9955,7.853,,,,0,gregorian,2017,1,january,13,13,18,"5 pm","2017-01-13 17:00:00",2017,1,january,13,13,20,"7 pm","2017-01-13 19:59:59",0,413137,"sky is cloudy",climate,climate/clouds,153,"cloud cover",4,"cloud cover",33,"3/4: very cloudy",3,,,n[],,
0,11811,142802,"not published",,4d8da6af0c023e6021450174d161f2c9,0,,"Freiburg, Stadtstraße 84",location,47.9955,7.853,,,,0,gregorian,2017,1,january,13,13,18,"5 pm","2017-01-13 17:00:00",2017,1,january,13,13,20,"7 pm","2017-01-13 19:59:59",0,413138,,climate,climate/temperature,237,"temperature level",1,"temperature level",7,cold,-2,,,,,
0,11811,142803,"not published",,69ffa95d8bddc0c02d0c61b14babd833,0,,"Freiburg, Universitätsbibliothek",location,47.994239,7.84543,,,,0,gregorian,2017,1,january,14,14,9,"8 am","2017-01-14 08:00:00",2017,1,january,14,14,11,"10 am","2017-01-14 10:59:59",0,413142,"super cloudy",climate,climate/clouds,153,"cloud cover",4,"cloud cover",32,"4/4: fully clouded",4,,,n[],,
0,11811,142807,"not published",,e9e98ec7a56cc897470a1605d7faa6b2,0,,"Freiburg, Bertholdstraße 24",location,47.9951,7.8477,,,,0,gregorian,2017,1,january,14,14,13,noon,"2017-01-14 12:00:00",2017,1,january,14,14,15,"2 pm","2017-01-14 14:59:59",0,413140," still snowing lightly",climate,"climate/precipitation/amount of precipitation",616,"shortterm precipitation",51,"shortterm precipitation",103,"very much precipitation",3,,,,,
0,11811,142803,"not published",,64a35c69d2a949c2c7f3361a9c21f21b,0,,"Freiburg, Universitätsbibliothek",location,47.994239,7.84543,,,,0,gregorian,2017,1,january,14,14,9,"8 am","2017-01-14 08:00:00",2017,1,january,14,14,11,"10 am","2017-01-14 10:59:59",0,413139,"snows heavily (huge snowflakes and the snow stays on the ground)",climate,"climate/precipitation/amount of precipitation",616,"shortterm precipitation",51,"shortterm precipitation",99,"extremely much precipitation",4,,,,,
0,11811,142808,"not published",,4e8aebed458b433d8a6e56927d3eb2ed,0,,"Freiburg, Karthäuserstraße 84",location,47.991413,7.862785,,,,0,gregorian,2017,1,january,14,14,18,"5 pm","2017-01-14 17:00:00",2017,1,january,14,14,20,"7 pm","2017-01-14 19:59:59",0,413141,"Still snowing",climate,"climate/precipitation/amount of precipitation",616,"shortterm precipitation",51,"shortterm precipitation",103,"very much precipitation",3,,,,,
0,11811,142807,"not published",,7ff065c045c69b18d4d5b37f813ce257,0,,"Freiburg, Bertholdstraße 24",location,47.9951,7.8477,,,,0,gregorian,2017,1,january,14,14,13,noon,"2017-01-14 12:00:00",2017,1,january,14,14,15,"2 pm","2017-01-14 14:59:59",0,413144,"super grey",climate,climate/clouds,153,"cloud cover",4,"cloud cover",32,"4/4: fully clouded",4,,,n[],,
0,11811,142808,"not published",,25740016031771e605e79d233618df60,0,,"Freiburg, Karthäuserstraße 84",location,47.991413,7.862785,,,,0,gregorian,2017,1,january,14,14,18,"5 pm","2017-01-14 17:00:00",2017,1,january,14,14,20,"7 pm","2017-01-14 19:59:59",0,413146,,climate,climate/temperature,237,"temperature level",1,"temperature level",3,cool,-1,,,,,
0,11811,142824,"not published",,eb81a0612fef32f89b77beb5ec79d274,0,,"Freiburg, Barbarastraße 8",location,48.003732,7.839775,,,,0,gregorian,2017,1,january,15,15,9,"8 am","2017-01-15 08:00:00",2017,1,january,15,15,11,"10 am","2017-01-15 10:59:59",0,413166,,climate,"climate/precipitation/amount of precipitation",616,"shortterm precipitation",51,"shortterm precipitation",101,"no precipitation",0,,,,,
0,11811,142824,"not published",,17dd4e6825792e053ad96bed807732b4,0,,"Freiburg, Barbarastraße 8",location,48.003732,7.839775,,,,0,gregorian,2017,1,january,15,15,9,"8 am","2017-01-15 08:00:00",2017,1,january,15,15,11,"10 am","2017-01-15 10:59:59",0,413168,,climate,climate/temperature,237,"temperature level",1,"temperature level",3,cool,-1,,,,,
0,11811,142826,"not published",,0f70ce18d5d0497fb52f6d2eb77c8ac8,0,,"Freiburg, Universitätsbibliothek",location,47.994239,7.84543,,,,0,gregorian,2017,1,january,15,15,13,noon,"2017-01-15 12:00:00",2017,1,january,15,15,15,"2 pm","2017-01-15 14:59:59",0,413169,,climate,"climate/precipitation/amount of precipitation",616,"shortterm precipitation",51,"shortterm precipitation",103,"very much precipitation",3,,,,,
0,11811,142826,"not published",,4aad25498f55b7da76de54253853bdf9,0,,"Freiburg, Universitätsbibliothek",location,47.994239,7.84543,,,,0,gregorian,2017,1,january,15,15,13,noon,"2017-01-15 12:00:00",2017,1,january,15,15,15,"2 pm","2017-01-15 14:59:59",0,413170,,climate,climate/temperature,237,"temperature level",1,"temperature level",2,"normal temperature",0,,,,,
0,11811,142824,"not published",,602eef49f75961e9d69fbb8e17ddab52,0,,"Freiburg, Barbarastraße 8",location,48.003732,7.839775,,,,0,gregorian,2017,1,january,15,15,9,"8 am","2017-01-15 08:00:00",2017,1,january,15,15,11,"10 am","2017-01-15 10:59:59",0,413167,"light grey",climate,climate/clouds,153,"cloud cover",4,"cloud cover",33,"3/4: very cloudy",3,,,n[],,
0,11789,142831,"not published",,3bffe4baf19e107d5da96a100fc7ae07,0,,"Freiburg, Engelbergerstrasse 41","individual coordinate",47.997213,7.833161,,,,0,gregorian,2017,1,january,13,13,9,"8 am","2017-01-13 08:00:00",2017,1,january,13,13,11,"10 am","2017-01-13 10:59:59",0,413172,"it is cold but not freezing",climate,climate/temperature,237,"temperature level",1,"temperature level",2,"normal temperature",0,,,,,
0,11811,142803,"not published",,4740948d1d86516bc3d117b2ca5d98a7,0,,"Freiburg, Universitätsbibliothek",location,47.994239,7.84543,,,,0,gregorian,2017,1,january,14,14,9,"8 am","2017-01-14 08:00:00",2017,1,january,14,14,11,"10 am","2017-01-14 10:59:59",0,413143,cold,climate,climate/temperature,237,"temperature level",1,"temperature level",3,cool,-1,,,,,
0,11811,142807,"not published",,fde825440d95603790859caddcc73398,0,,"Freiburg, Bertholdstraße 24",location,47.9951,7.8477,,,,0,gregorian,2017,1,january,14,14,13,noon,"2017-01-14 12:00:00",2017,1,january,14,14,15,"2 pm","2017-01-14 14:59:59",0,413145," it feels a little warmer",climate,climate/temperature,237,"temperature level",1,"temperature level",1,warm,1,,,,,
