Alameda;1,578891
Alpine;1,159
Amador;36,519
Butte;222,090
Calaveras;44,515
Colusa;21,358
Contra Costa;1,094205
Del Norte;27,873
El Dorado;181,737
Fresno;955,272
Glenn;27,940
Humboldt;134,493
Imperial;176,584
Inyo;18,467
Kern;864,124
Kings;150,960
Lake;63,860
Lassen;32,163
Los Angeles;10,017068
Madera;152,389
Marin;258,365
Mariposa;17,755
Mendocino;87,192
Merced;263,228
Modoc;9,147
Mono;14,074
Monterey;428,826
Napa;140,326
Nevada;98,200
Orange;3,114363
Placer;367,309
Plumas;18,859
Riverside;2,292507
Sacramento;1,462131
San Benito;57,600
San Bernardino;2,088371
San Diego;3,211252
San Francisco;837,442
San Joaquin;704,379
San Luis Obispo;276,443
San Mateo;747,373
Santa Barbara;435,697
Santa Clara;1,862041
Santa Cruz;269,419
Shasta;178,980
Sierra;3,047
Siskiyou;43,799
Solano;424,788
Sonoma;495,025
Stanislaus;525,491
Sutter;95,350
Tehama;63,057
Trinity;13,448
Tulare;454,143
Tuolumne;53,874
Ventura;839,620
Yolo;204,593
Yuba;73,340
