"order" "species" "adult_body_mass_g" "adult_head_body_len_mm" "home_range_km2" "litter_size"
"Artiodactyla" "Camelus dromedarius" 492714.47 NA 196.32 0.98
"Carnivora" "Canis adustus" 10392.49 745.32 1.01 4.5
"Carnivora" "Canis aureus" 9658.7 827.53 2.95 3.74
"Carnivora" "Canis latrans" 11989.1 872.39 18.88 5.72
"Carnivora" "Canis lupus" 31756.51 1055 159.86 4.98
"Artiodactyla" "Bos frontalis" 800143.05 2700 NA 1.22
"Artiodactyla" "Bos grunniens" 5e+05 NA NA 1
"Artiodactyla" "Bos javanicus" 635974.34 2075 NA 1.22
"Primates" "Callicebus cupreus" 1117.02 354.99 NA 1.01
"Primates" "Callicebus discolor" NA NA NA NA
"Primates" "Callicebus donacophilus" 897.67 NA NA 1.02
"Primates" "Callicebus dubius" 992.4 NA NA 1.02
"Primates" "Callicebus hoffmannsi" 1067.61 NA NA 1.02
"Primates" "Callicebus lucifer" NA NA NA NA
"Primates" "Callicebus lugens" NA NA NA NA
"Primates" "Callicebus medemi" NA NA NA NA
"Primates" "Callicebus melanochir" NA NA NA NA
"Primates" "Callicebus modestus" 992.4 NA NA 1.02
"Didelphimorphia" "Caluromys derbianus" 326.72 231 NA 3.14
"Didelphimorphia" "Caluromys lanatus" 350.33 273.3 NA NA
"Didelphimorphia" "Caluromys philander" 246.47 224.27 0.009960363 4.18
"Didelphimorphia" "Caluromysiops irrupta" 257.48 234.52 NA 2
"Cingulata" "Calyptophractus retusus" 129.99 157.5 NA NA
"Artiodactyla" "Camelus bactrianus" 554515.91 NA NA 1.39
"Artiodactyla" "Bos sauveli" 791321.76 2175 NA NA
"Artiodactyla" "Bos taurus" 618642.42 NA 10.04 NA
"Artiodactyla" "Boselaphus tragocamelus" 182253.04 2000 NA 1.39
"Rodentia" "Brachiones przewalskii" NA NA NA NA
"Carnivora" "Canis mesomelas" 8247.3 707.27 11.93 3.89
"Carnivora" "Canis simensis" 14361.86 938.19 4.2 NA
"Rodentia" "Cannomys badius" 472.07 NA NA 2
"Rodentia" "Cansumys canus" NA NA NA NA
"Cetacea" "Caperea marginata" 31999999.98 NA NA 0.98
"Artiodactyla" "Capra caucasica" 58149.52 NA NA 1.09
